time,close,high,low,open,volumefrom,volumeto
1519144020,11600,11600,11598.32,11599.37,1.1,12783.1
1519144080,11618,11622,11599,11600,2.58,29992.68
1519144140,11618.13,11622.73,11614.59,11618,1.5,17448.48
1519144200,11601.86,11619.98,11600.05,11618.13,5.08,59007.96
1519144260,11589.95,11617,11578.95,11601.86,7.97,92460.84
1519144320,11598.95,11599.94,11578.41,11589.95,3.83,44368.06
1519144380,11588.05,11599,11588.05,11598.95,6.06,70247.75
1519144440,11590,11595.46,11588,11588.05,2.9,33593.14
1519144500,11590,11590,11587,11590,2.12,24519.33
1519144560,11592.41,11599.94,11578.4,11590,9.11,105496.43
1519144620,11585.37,11592.41,11582.4,11592.41,2.13,24664.09
1519144680,11595,11596.99,11582.13,11585.37,2.8,32418.85
1519144740,11595,11595,11588.62,11595,14.92,173042.99
1519144800,11597,11598,11589.21,11595,3.91,45331.62
1519144860,11590.13,11598,11590,11597,1.02,11873.16
1519144920,11581.81,11596.96,11578.39,11590.13,5.78,67019.37
1519144980,11587.95,11592.88,11581.81,11581.81,0.9033,10466.8
1519145040,11588.94,11588.94,11585.67,11587.95,2.1,24278.53
1519145100,11582,11593.69,11581.95,11588.94,0.837,9700.12
1519145160,11585,11591,11582,11582,2.3,26686.5
1519145220,11570.4,11585,11570.05,11585,2.41,27946.71
1519145280,11576.66,11590,11570.05,11570.4,3.89,45001.05
1519145340,11579.78,11584.7,11570,11576.66,0.7887,9134.3
1519145400,11578,11579.78,11570,11579.78,1.02,11749.57
1519145460,11582.57,11592,11572.73,11578,2,23191.72
1519145520,11592,11592.57,11582.57,11582.57,0.4152,4813.02
1519145580,11583,11592,11583,11592,2.46,28446.94
1519145640,11579.64,11583,11570.05,11583,0.1876,2171.74
1519145700,11576.93,11579.69,11572.58,11579.64,2.18,25230.8
1519145760,11563.55,11579.69,11559.22,11576.93,2.58,29789.1
1519145820,11563.55,11563.55,11550.05,11563.55,4.47,51736.04
1519145880,11569.79,11591.99,11563.46,11563.55,2.85,32947.44
1519145940,11576.42,11588,11565.56,11569.79,0.6056,7012.65
1519146000,11587.24,11587.4,11576.42,11576.42,4.27,49435.03
1519146060,11578,11587.24,11578,11587.24,0.3096,3585.73
1519146120,11580,11587.4,11578,11578,1.41,16345.94
1519146180,11583.47,11587.4,11580,11580,2.98,34477
1519146240,11579.01,11587,11578.01,11583.47,3.13,36239.54
1519146300,11578,11584.95,11578,11579.01,4.11,47638.82
1519146360,11596,11596.83,11565.7,11578,16.61,192405.63
1519146420,11611.34,11618,11596,11596,8.91,103458.19
1519146480,11598.84,11618,11598.84,11611.34,4.38,50848.86
1519146540,11614,11614.99,11594.62,11598.84,0.4817,5590.29
1519146600,11614.71,11620,11600.2,11614,10.37,120428.8
1519146660,11616,11619,11614.71,11614.71,2.77,32217.47
1519146720,11614.99,11618.95,11612,11616,2.84,32993.2
1519146780,11613,11615,11609,11614.99,3.43,39877.56
1519146840,11614.98,11615,11609,11613,2.09,24265.48
1519146900,11638.17,11638.17,11612.93,11614.98,9.09,105602.33
1519146960,11648.28,11650,11638,11638.17,3.68,42866.67
1519147020,11655,11655,11647,11648.28,5.78,67369.06
1519147080,11662,11662,11655,11655,2.32,27012.61
1519147140,11649,11663,11645.32,11662,4.11,47931.13
1519147200,11646.35,11649.95,11645.58,11649,3.52,40986.11
1519147260,11649,11649,11639,11646.35,4.67,54363.82
1519147320,11643,11651,11641,11649,2.38,27674.96
1519147380,11637.9,11644.99,11634,11643,5,58151.84
1519147440,11636.42,11637.9,11636.42,11637.9,2.49,28961.55
1519147500,11634,11636.42,11634,11636.42,2.49,29014.65
1519147560,11636,11636,11632.05,11634,2.59,30112.94
1519147620,11642,11642,11631.97,11636,2.72,31638.94
1519147680,11650,11660,11638.05,11642,4.54,52908.11
1519147740,11650,11654.5,11649,11650,7.03,81896.73
1519147800,11650,11653,11649,11650,2.03,23603.43
1519147860,11653.01,11653.01,11649.76,11650,2.97,34599.84
1519147920,11657.17,11659,11653.01,11653.01,0.7729,9008.2
1519147980,11655.28,11663.31,11655,11657.17,2.28,26608.18
1519148040,11649,11655.36,11649,11655.28,2.18,25384.09
1519148100,11652.63,11653,11649,11649,0.6856,7988.14
1519148160,11661.14,11662.54,11650.89,11652.63,2.88,33549.18
1519148220,11663.31,11663.31,11659.75,11661.14,3.12,36410.81
1519148280,11679.99,11680,11663.31,11663.31,5.79,67615.6
1519148340,11683,11683,11679.99,11679.99,12.05,140746.28
1519148400,11685,11685,11682,11683,6.93,80996.58
1519148460,11688,11688,11684.29,11685,13.99,163532.73
1519148520,11679,11688,11673.05,11688,10.39,121417.54
1519148580,11685.05,11689,11679,11679,5.31,62080.25
1519148640,11689,11689,11685,11685.05,6.99,81760.04
1519148700,11691,11691,11687.06,11689,15.15,177080.54
1519148760,11698.57,11699.98,11689,11691,4.23,49506.18
1519148820,11685.42,11699.96,11685,11698.57,4.84,56620.43
1519148880,11672.88,11685.42,11670.12,11685.42,3.99,46544.65
1519148940,11663.46,11672.88,11663,11672.88,2.7,31462.4
1519149000,11655,11663.46,11619.45,11663.46,4.5,52407.3
1519149060,11664.94,11664.94,11655,11655,1.99,23162.8
1519149120,11661.89,11664.99,11661.89,11664.94,2.47,28757.57
1519149180,11661.88,11661.9,11661,11661.89,1.19,13880.91
1519149240,11659.97,11661.88,11657,11661.88,4.83,56292.97
1519149300,11664.99,11664.99,11659.44,11659.97,2.83,32990.09
1519149360,11666.98,11669,11664.96,11664.99,4.93,57490.2
1519149420,11675.05,11688.22,11666.98,11666.98,1.23,14365.77
1519149480,11686.98,11686.99,11675.05,11675.05,1.13,13204.12
1519149540,11688.89,11688.96,11684.99,11686.98,3.53,41203.42
1519149600,11679,11688.89,11679,11688.89,2.96,34617.57
1519149660,11677,11679,11674.46,11679,9.37,109423.27
1519149720,11694.99,11695,11677,11677,3.52,41181.9
1519149780,11699.99,11700,11692.99,11694.99,6.97,81588
1519149840,11714.01,11714.99,11699.99,11699.99,6.01,70409.86
1519149900,11712.99,11714.01,11710.99,11714.01,0.5882,6888.91
1519149960,11722.99,11724.11,11712.61,11712.99,4.78,55994.67
1519150020,11710.99,11724.12,11710.99,11722.99,6.24,73134.5
1519150080,11702.94,11714.98,11700,11710.99,6.56,76781.52
1519150140,11708.99,11710.99,11702.94,11702.94,1.15,13442.56
1519150200,11710.99,11712.99,11708.99,11708.99,1.56,18233.55
1519150260,11715.17,11716.99,11708.99,11710.99,0.3655,4280.75
1519150320,11718.99,11718.99,11714.94,11715.17,1.12,13141.11
1519150380,11713,11722.99,11712.94,11718.99,9.14,107074.32
1519150440,11688.25,11713,11683.14,11713,6.35,74302.73
1519150500,11681.14,11688.25,11679.14,11688.25,5.95,69500.01
1519150560,11688.99,11688.99,11675.19,11681.14,4.3,50245.33
1519150620,11690.99,11690.99,11686.99,11688.99,0.6811,7961.62
1519150680,11699.34,11699.34,11688.05,11690.99,0.7286,8520.94
